id,title,description,link,image_link,condition,availability,price,google_product_category,brand
345,"Hạt Giống Xà Lách Sồi Xanh - 2 Gram","Hạt Giống Xà Lách Sồi Xanh - 2 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-soi-xanh-2-gram-345.html,/asset/upload/image/hat-giong-xa-lach-soi-xanh.jpg?v=20190410,New,"In Stock","25,000 VND",,
344,"Hạt Giống Xà Lách Cánh Lửa","Hạt Giống Xà Lách Cánh Lửa",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-canh-lua-344.html,/asset/upload/image/hat-giong-xa-lach-canh-lua.jpg?v=20190410,New,"In Stock","25,000 VND",,
343,"Hạt Giống Xà Lách Đỏ Romaine","Hạt Giống Xà Lách Đỏ Romaine",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-do-romaine-343.html,/asset/upload/image/hat-giong-xa-lach-do-romaine.jpg?v=20190410,New,"In Stock","25,000 VND",,
342,"Hạt Giống Xà Lách Ruby Đỏ - 1 Gram","Hạt Giống Xà Lách Ruby Đỏ - 1 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-ruby-do-1-gram-342.html,/asset/upload/image/hat-giong-xa-lach-do-xoan-chiu-nhiet-ruby.jpg?v=20190410,New,"In Stock","25,000 VND",,
341,"Hạt Giống Cà Pháo Trứng - 40 Hạt","Hạt Giống Cà Pháo Trứng - 40 Hạt",https://hatgionglamson.com/san-pham/hat-giong-ca-phao-trung-40-hat-341.html,/asset/upload/image/hat-giong-ca-phao-trung.jpg?v=20190410,New,"In Stock","25,000 VND",,
340,"Hạt Giống Atiso Xanh - 10 Hạt","Hạt Giống Atiso Xanh - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-atiso-xanh-10-hat-340.html,/asset/upload/image/HAT-GIONG-ATISO-xanh.jpg?v=20190410,New,"In Stock","20,000 VND",,
339,"Hạt Giống Atiso Tím - 10 Hạt","Hạt Giống Atiso Tím - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-atiso-tim-10-hat-339.html,/asset/upload/image/hat-giong-atiso-tim-12.jpg?v=20190410,New,"In Stock","20,000 VND",,
338,"Hạt Giống Dưa Leo","Hạt Giống Dưa Leo",https://hatgionglamson.com/san-pham/hat-giong-dua-leo-338.html,/asset/upload/image/Dua-leo.jpg?v=20190410,New,"In Stock","20,000 VND",,
337,"Hạt Giống Hẹ","Hạt Giống Hẹ",https://hatgionglamson.com/san-pham/hat-giong-he-337.html,/asset/upload/image/cay-he.jpg?v=20190410,New,"In Stock","20,000 VND",,
336,"Hạt Giống Khổ Qua Gai Xanh","Hạt Giống Khổ Qua Gai Xanh",https://hatgionglamson.com/san-pham/hat-giong-kho-qua-gai-xanh-336.html,/asset/upload/image/hat-giong-kho-qua-gai-xanh-1.jpg?v=20190410,New,"In Stock","20,000 VND",,
335,"Hạt Giống Khổ Qua F1","Hạt Giống Khổ Qua F1",https://hatgionglamson.com/san-pham/hat-giong-kho-qua-f1-335.html,/asset/upload/image/hat-giong-kho-qua.jpg?v=20190410,New,"In Stock","20,000 VND",,
334,"Hạt Giống Rau Mồng Tơi","Hạt Giống Rau Mồng Tơi",https://hatgionglamson.com/san-pham/hat-giong-rau-mong-toi-334.html,/asset/upload/image/hat-giong-rau-mong-toi.jpg?v=20190410,New,"In Stock","20,000 VND",,
333,"Hạt Giống Mướp Khía","Hạt Giống Mướp Khía",https://hatgionglamson.com/san-pham/hat-giong-muop-khia-333.html,/asset/upload/image/muopkhia1.jpg?v=20190410,New,"In Stock","20,000 VND",,
332,"Hạt Giống Ngò Gai","Hạt Giống Ngò Gai",https://hatgionglamson.com/san-pham/hat-giong-ngo-gai-332.html,/asset/upload/image/Hat-giong-rau-ngo-gai.jpg?v=20190410,New,"In Stock","20,000 VND",,
331,"Hạt Giống Ớt Hiểm","Hạt Giống Ớt Hiểm",https://hatgionglamson.com/san-pham/hat-giong-ot-hiem-331.html,/asset/upload/image/ot-hiem.jpg?v=20190410,New,"In Stock","20,000 VND",,
330,"Hạt Giống Ớt Xiêm","Hạt Giống Ớt Xiêm",https://hatgionglamson.com/san-pham/hat-giong-ot-xiem-330.html,/asset/upload/image/ot-xiem.jpg?v=20190410,New,"In Stock","20,000 VND",,
